
2023-11-20;05:04:58;CHANEL;Broche Chanel Pedras Bicolor;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.400,00;EÚ R$ 3.999,00;
2023-11-20;05:04:58;CHANEL;Broche Chanel Pedras Dourado;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.400,00;EÚ R$ 3.999,00;
2023-11-20;05:04:58;CHANEL;Óculos de Sol Chanel 5067 Vermelho;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.400,00;EÚ R$ 640,00;
2023-11-20;05:04:58;CHANEL;Carteira Chanel Camellia Vermelha;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.600,00;EÚ R$ 1.799,99;
2023-11-20;05:04:58;CHANEL;Óculos de Sol Chanel 4154 Marrom;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.530,00;EÚ R$ 2.355,00;
2023-11-20;05:04:58;CHANEL;Óculos de Sol Chanel 5387 Tartaruga;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.560,00;EÚ R$ 1.260,00;
2023-11-20;05:04:58;CHANEL;Óculos de Sol Chanel 5279 Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.600,00;EÚ R$ 1.556,99;
2023-11-20;05:04:58;CHANEL;Óculos de Grau Chanel 3295-B Preto Vintage;TAMANHO: ÚNICO;PREÇO LOJA R$ 1.850,00;EÚ R$ 1.400,00;
2023-11-20;05:04:58;CHANEL;Carteira Chanel Flap CC Preta;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.630,00;EÚ R$ 6.200,00;
2023-11-20;05:04:58;CHANEL;Carteira Chanel Flap Azul;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.630,00;EÚ R$ 3.300,00;
2023-11-20;05:04:58;CHANEL;Óculos de Grau Chanel CH3223W Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.000,00;EÚ R$ 1.100,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel Grau 3369 Vinho;TAMANHO: ÚNICO;PREÇO LOJA R$ 1.850,00;EÚ R$ 1.000,00;
2023-11-20;05:04:58;CHANEL;Porta Moedas Chanel Caviar Azul;TAMANHO: ÚNICO;PREÇO LOJA R$ 4.600,00;EÚ R$ 2.500,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel CC 6030 Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.485,00;EÚ R$ 750,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4008 Cinza;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.530,00;EÚ R$ 1.350,00;
2023-11-20;05:04:58;CHANEL;Carteira Chanel Reissue Quilted Preta;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.630,00;EÚ R$ 3.500,00;
2023-11-20;05:04:58;CHANEL;Carteira Chanel Votez Coco Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.630,00;EÚ R$ 3.500,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4189-T-Q Prateado;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.250,00;EÚ R$ 950,00;
2023-11-20;05:04:58;CHANEL;Lenço Chanel Seda CC Cat;TAMANHO: ÚNICO;PREÇO LOJA R$ 4.675,00;EÚ R$ 2.500,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 5427H Tartaruga;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.120,00;EÚ R$ 2.250,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 5422B Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.360,00;EÚ R$ 2.475,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 5422B Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.360,00;EÚ R$ 2.475,00;
2023-11-20;05:04:58;CHANEL;Carteira Chanel Lambskin Quilted Large Flap Preta;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.630,00;EÚ R$ 3.175,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4189-T-Q Rosa;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.560,00;EÚ R$ 1.200,00;
2023-11-20;05:04:58;CHANEL;Carteira Chanel CC Quilted Flap Bege;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.630,00;EÚ R$ 3.000,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4141-Q Dourado;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.500,00;EÚ R$ 720,00;
2023-11-20;05:04:58;CHANEL;Carteira Chanel Caviar Vinho;TAMANHO: ÚNICO;PREÇO LOJA R$ 6.200,00;EÚ R$ 2.699,99;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 3195 Camellia Tartaruga Marrom;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.700,00;EÚ R$ 1.750,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 5316-Q Marrom;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.560,00;EÚ R$ 1.458,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel Butterfly Runway 5377 Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.560,00;EÚ R$ 1.700,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4102-B Transparente;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.560,00;EÚ R$ 900,00;
2023-11-20;05:04:58;CHANEL;Cinto Chanel Couro Marrom;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.800,00;EÚ R$ 2.699,09;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4239 Prateado;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.560,00;EÚ R$ 1.176,48;
2023-11-20;05:04:58;CHANEL;Broche Chanel Flor Python Estampada;TAMANHO: ÚNICO;PREÇO LOJA R$ 4.145,00;EÚ R$ 1.349,10;
2023-11-20;05:04:58;CHANEL;Broche Chanel Pérolas Bicolor;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.400,00;EÚ R$ 3.599,09;
2023-11-20;05:04:58;CHANEL;Broche Chanel Pérolas Pedra Verde;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.400,00;EÚ R$ 3.599,09;
2023-11-20;05:04:58;CHANEL;Carteira Chanel Quilted Boy Vermelha;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.630,00;EÚ R$ 2.361,11;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4216 Prateado;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.150,00;EÚ R$ 1.166,67;
2023-11-20;05:04:58;CHANEL;Óculo Chanel 5113 Camellia Flores Marrom;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.560,00;EÚ R$ 807,49;
2023-11-20;05:04:58;CHANEL;Carteira Chanel CC Zipped Pocket Metálica;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.630,00;EÚ R$ 1.696,58;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4202 Azul;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.150,00;EÚ R$ 1.020,00;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 5203 Marrom;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.560,00;EÚ R$ 539,99;
2023-11-20;05:04:58;CHANEL;Óculos Chanel Camellia CC 5113;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.560,00;EÚ R$ 516,79;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 28203 Ambar;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.535,00;EÚ R$ 806,70;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4141-Q Aviator Metal Chumbo;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.180,00;EÚ R$ 880,17;
2023-11-20;05:04:58;CHANEL;Óculos Chanel CC 5183 Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.500,00;EÚ R$ 968,92;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4206 Prata;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.060,00;EÚ R$ 484,42;
2023-11-20;05:04:58;CHANEL;Estola Chanel Marrom Pelos;TAMANHO: ÚNICO;PREÇO LOJA R$ 42.610,00;EÚ R$ 9.689,92;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 5288-Q CC P&B;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.290,00;EÚ R$ 769,48;
2023-11-20;05:04:58;CHANEL;Carteira Chanel Brilliant CC Verniz Vermelho;TAMANHO: ÚNICO;PREÇO LOJA R$ 8.860,00;EÚ R$ 2.728,40;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4010 Cinza Vintage;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.500,00;EÚ R$ 683,98;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 5522 Vintage Marrom;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.535,00;EÚ R$ 807,49;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 5171 Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.360,00;EÚ R$ 807,49;
2023-11-20;05:04:58;CHANEL;Óculos Chanel Frame Camellia Print Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 2.560,00;EÚ R$ 807,49;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4168 Aviador Vermelho;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.010,00;EÚ R$ 484,49;
2023-11-20;05:04:58;CHANEL;Carteira Chanel Matelasse Couro Preta;TAMANHO: ÚNICO;PREÇO LOJA R$ 7.630,00;EÚ R$ 1.823,93;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 5171 Bow Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.500,00;EÚ R$ 968,92;
2023-11-20;05:04:58;CHANEL;Óculos Chanel Square Metal Pearl Chumbo;TAMANHO: ÚNICO;PREÇO LOJA R$ 6.050,00;EÚ R$ 2.374,99;
2023-11-20;05:04:58;CHANEL;Óculos Chanel Miroir Collection 5169 Marrom;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.500,00;EÚ R$ 512,96;
2023-11-20;05:04:58;CHANEL;Case para iPad Chanel Brilliant Matelassê Preto;TAMANHO: ÚNICO;PREÇO LOJA R$ 8.300,00;EÚ R$ 957,53;
2023-11-20;05:04:58;CHANEL;Óculos Chanel Oval Cat Eye 5156 Marrom;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.500,00;EÚ R$ 930,18;
2023-11-20;05:04:58;CHANEL;Broche Chanel Chain Camellia Marrom;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.440,00;EÚ R$ 1.846,74;
2023-11-20;05:04:58;CHANEL;Óculos Chanel 4202 Azul;TAMANHO: ÚNICO;PREÇO LOJA R$ 3.150,00;EÚ R$ 904,33;
2023-11-20;05:04:58;CHANEL;Cachecol Chanel Tweed Multicolor;TAMANHO: ÚNICO;PREÇO LOJA R$ 11.100,00;EÚ R$ 6.453,54;
